w1, w2, w3, w4, w5, w6, w7, w8, w9, w10, w11, w12
78.86933333333333, 75.21333333333341, 75.60088888888896, 75.42399999999999, 70.9066666666665, 73.03555555555553, 78.13511111111106, 75.37333333333333, 76.45600000000002, 76.91288888888897, 77.9866666666666, 80.4080000000001
78.69155555555558, 75.26933333333336, 75.56444444444449, 75.42044444444448, 70.96711111111105, 72.96799999999998, 77.85511111111106, 75.15822222222224, 76.38666666666673, 76.71022222222237, 77.88622222222227, 80.32711111111108
78.43466666666674, 75.40088888888889, 75.68533333333345, 75.43377777777783, 70.83911111111102, 72.88977777777781, 77.87555555555534, 75.16088888888882, 76.36800000000001, 76.88977777777788, 77.9288888888889, 80.3973333333335
78.35555555555565, 75.26755555555556, 75.49422222222225, 75.3804444444444, 70.51822222222219, 72.88444444444455, 77.86044444444447, 74.88533333333318, 76.35466666666665, 76.92355555555567, 77.96533333333336, 80.37422222222236
78.54666666666668, 75.25422222222223, 75.4542222222223, 75.2595555555555, 71.03644444444431, 72.84266666666664, 77.7511111111112, 74.97599999999993, 76.3831111111112, 77.01066666666674, 77.86666666666672, 80.38044444444455
78.59733333333344, 75.56533333333331, 75.52444444444441, 76.33599999999988, 70.72888888888886, 72.81866666666656, 77.79288888888884, 74.80888888888893, 76.3262222222223, 77.048888888889, 78.02044444444444, 80.40622222222225
78.70222222222226, 75.4915555555554, 75.3848888888889, 76.05244444444443, 70.97955555555545, 72.99288888888901, 77.66311111111106, 74.71199999999997, 76.34399999999988, 77.02577777777782, 78.08088888888891, 80.55288888888889
78.6293333333334, 75.45777777777784, 75.26399999999992, 75.85688888888885, 70.76622222222223, 72.736, 77.6844444444444, 74.67200000000007, 76.29511111111104, 77.1137777777777, 78.33333333333331, 80.33511111111112
78.71733333333326, 75.54577777777794, 75.48355555555555, 75.97511111111103, 70.92444444444445, 72.81599999999997, 77.60533333333333, 74.71822222222214, 76.47644444444448, 77.20533333333343, 78.25066666666683, 80.26577777777781
78.44622222222213, 75.60000000000001, 75.53422222222216, 75.863111111111, 70.78755555555543, 72.85955555555556, 77.68533333333345, 74.56800000000007, 76.42666666666659, 77.27644444444452, 78.2026666666667, 80.36355555555548
78.49866666666662, 75.64711111111126, 75.3671111111111, 76.07644444444445, 70.71377777777782, 72.82222222222228, 77.89777777777785, 74.71911111111115, 76.54044444444455, 77.46044444444458, 78.46933333333331, 80.47822222222212
78.78755555555546, 75.5457777777777, 75.37155555555553, 75.96622222222216, 70.99377777777781, 72.92977777777789, 77.79466666666657, 74.59733333333331, 76.5262222222222, 77.50577777777785, 78.60177777777781, 80.62400000000007
78.85333333333327, 75.87288888888882, 75.56266666666669, 76.08888888888899, 70.9253333333333, 73.02044444444452, 77.78311111111107, 74.61244444444436, 76.56799999999986, 77.54844444444447, 78.41955555555552, 80.62222222222222
78.8533333333333, 75.82133333333336, 75.6355555555556, 76.13244444444433, 71.02488888888875, 72.79555555555554, 77.58666666666662, 74.6453333333332, 76.66311111111125, 77.82755555555553, 78.44266666666657, 80.52888888888877
78.77688888888895, 75.76088888888883, 75.51377777777788, 75.67733333333327, 70.5395555555555, 72.72355555555568, 77.42755555555544, 74.39555555555557, 76.42755555555547, 77.61511111111103, 78.20177777777766, 80.47288888888886
78.76355555555556, 75.82933333333322, 75.51377777777778, 75.97599999999986, 70.96266666666666, 72.79377777777775, 77.54400000000007, 74.1831111111113, 76.3351111111112, 77.59200000000014, 78.33155555555561, 80.4835555555555
78.9715555555556, 75.95466666666655, 75.62933333333343, 76.03733333333338, 70.99555555555558, 72.92622222222215, 77.44088888888886, 74.24266666666666, 76.32888888888881, 77.67911111111115, 78.31377777777796, 80.58755555555555
78.92800000000001, 75.89866666666671, 75.47377777777787, 76.15555555555555, 71.1377777777778, 73.02133333333337, 77.58488888888888, 74.3235555555555, 76.54399999999995, 77.67733333333331, 78.42755555555554, 80.83644444444438
78.84266666666666, 75.8195555555554, 75.47733333333329, 75.89777777777769, 70.9848888888889, 72.86666666666667, 77.69599999999988, 74.43199999999996, 76.4168888888888, 77.84533333333329, 78.47466666666668, 80.59288888888894
78.99911111111102, 75.952888888889, 75.6337777777778, 75.96977777777776, 71.15288888888884, 73.13688888888889, 77.71199999999993, 74.33333333333321, 76.58933333333323, 79.27644444444427, 78.52977777777781, 80.74666666666654
78.86933333333329, 76.1013333333333, 75.70044444444447, 76.08177777777767, 71.02488888888875, 72.77066666666667, 77.65777777777777, 74.31377777777786, 76.67022222222229, 79.82311111111115, 78.60888888888881, 80.5164444444445
78.89422222222233, 76.12088888888894, 75.60533333333329, 76.00799999999992, 70.91200000000009, 72.82400000000013, 77.5199999999999, 74.34399999999995, 76.45333333333339, 79.98044444444454, 78.49244444444453, 80.66755555555571
78.94044444444462, 76.28177777777783, 75.73955555555555, 76.10133333333334, 71.0595555555555, 72.8062222222222, 77.6488888888888, 74.15377777777776, 76.54044444444452, 80.24711111111108, 78.60088888888889, 80.76977777777773
78.76177777777767, 76.05866666666657, 75.7333333333334, 75.82044444444452, 70.67199999999995, 72.73333333333339, 77.68977777777776, 74.50222222222224, 76.80711111111115, 80.67822222222225, 78.59911111111113, 80.71111111111124
78.93333333333338, 76.30044444444444, 75.48711111111105, 76.00888888888895, 70.936, 72.93599999999994, 77.59822222222235, 74.38933333333334, 76.43466666666663, 80.4968888888889, 78.57422222222222, 81.70488888888883
78.97244444444448, 76.1555555555555, 75.591111111111, 76.03466666666677, 71.00355555555556, 72.85333333333332, 77.81155555555553, 74.43644444444446, 76.86044444444447, 80.80355555555566, 78.7608888888888, 82.40622222222207
78.99555555555546, 76.0471111111111, 75.64533333333334, 75.87022222222222, 71.05155555555551, 72.8168888888889, 77.5288888888889, 74.22399999999996, 76.6595555555557, 80.70044444444461, 78.62844444444457, 82.97066666666673
79.01422222222207, 76.28977777777781, 75.64355555555552, 75.89155555555557, 70.88799999999992, 72.72000000000008, 77.55555555555556, 73.8888888888888, 76.39555555555566, 80.49866666666668, 78.60088888888882, 83.22844444444436
78.88977777777758, 76.28355555555557, 75.55733333333325, 76.05866666666658, 70.91555555555561, 72.89955555555547, 77.504, 74.23555555555548, 76.60711111111114, 80.64000000000006, 78.65422222222237, 83.57422222222213
79.06222222222219, 76.16711111111103, 75.3937777777778, 75.8862222222222, 70.98933333333326, 72.7768888888889, 77.65333333333325, 74.09511111111122, 76.78933333333335, 80.81333333333339, 78.74222222222215, 83.75644444444444
78.92622222222228, 76.33244444444435, 75.60711111111104, 75.82577777777772, 71.0177777777777, 73.87199999999997, 77.71644444444449, 74.09688888888891, 76.68355555555561, 80.81688888888897, 78.80888888888893, 83.66933333333324
78.95466666666658, 76.36711111111116, 75.62400000000007, 75.99288888888893, 70.81955555555555, 73.98577777777784, 77.41244444444449, 74.05600000000003, 76.38399999999989, 80.72177777777777, 78.53777777777776, 83.647111111111
78.54755555555555, 75.97333333333326, 75.19822222222224, 75.09955555555548, 70.38755555555554, 73.5884444444444, 77.17777777777793, 73.66488888888883, 76.27733333333336, 80.50133333333335, 78.43733333333326, 83.52711111111115
78.58044444444454, 75.96533333333335, 75.18044444444457, 75.21422222222206, 70.4773333333333, 73.53422222222227, 77.08355555555553, 74.06222222222215, 76.50222222222222, 80.60444444444434, 78.37777777777768, 83.46488888888894
78.81066666666662, 76.10933333333337, 75.33333333333333, 75.24266666666666, 70.54399999999983, 73.59288888888892, 77.30488888888881, 73.85955555555552, 76.44088888888881, 80.67199999999998, 78.5537777777777, 83.65866666666666
